N°  PID	vx	vy	vz	px	py	pz	m
1  35	-4000	400	-6000	-104.07999887186548	-74.15699919620414	39.029999576949564	30
2  130	-4000	400	-6000	2.5137286929519127	0.6202525826473253	-2.0958083422034575	0.49765
3  321	-4000	400	-6000	2.3943504583744826	0.5119469981270515	-1.1107985283077282	0.49368
4  -321	-4000	400	-6000	2.4821182922093197	0.28689621063323556	-1.1931201493580552	0.49368
5  -12	-4000	400	-6000	8.263149555815996	3.46072445464293	-3.968249836206687	2.2302e-7
6  11	-4000	400	-6000	2.7830848277964106	2.2021556437925423	-0.5497723920852108	0.000511
7  22	-4000	400	-6000	0.3003720760015175	-0.017734169383425452	0.007661723765489594	2.63418e-9
8  22	-4000	400	-6000	0.43253791052430696	-0.15174121945208296	-0.09635236329982556	5.26836e-9
9  211	-4000	400	-6000	0.4782295213336124	0.36473405237201956	-0.13761879877080496	0.13957
10 -211	-4000	400	-6000	0.26622818924344294	0.06144147527959963	-0.11440836660674775	0.13957
11 22 	-4000	400	-6000	0.2218848752432647	-0.0022532241742321546	0.016016260112509787	-7.90253e-9
12 22	-4000	400	-6000	0.35137231189236773	0.16802597812882725	-0.0027522831801477313	-1.27697e-8
13 22	-4000	400	-6000	0.560584573152527	0.11374540436772126	0.03017243123222116	-6.45239e-9
14 22	-4000	400	-6000	0.6384021261428657	0.25886007760030805	-0.039429704932090665	-7.45058e-9
15 22	-4000	400	-6000	0.9322042838014237	0.2540943339011961	0.11764131093465113	-1.666e-8
16 22	-4000	400	-6000	0.5718019928992916	0.11820783655147737	0.17161603616535448	-1.82501e-8
17 22	-4000	400	-6000	0.49317782848958164	0.13829179735804267	-0.25771076609987265	5.26836e-9
18 22	-4000	400	-6000	0.584300386482762	0.271425287997311	-0.20521630992606907	1.11759e-8
19 211	-4000	400	-6000	-0.007291998334269176	0.18297274435271046	0.1342206374755041	0.13957
20 321	-4000	400	-6000	1.2835994291599695	0.27022263164274	-1.055309899421623	0.49368
21 -321	-4000	400	-6000	3.6595419109564298	2.258123475956014	-0.4904259993258059	0.49368
22 211	-4000	400	-6000	1.4164094353357073	1.081480061148101	-0.32560890171505863	0.13957
23 -211	-4000	400	-6000	1.0088527143237165	1.1346132615493663	-0.5302950276129158	0.13957
24 -13	-4000	400	-6000	1.3792401275494357	0.980103115218386	-0.10189545486249879	0.10566
25 14	-4000	400	-6000	12.992660837699814	10.19016342355946	-4.2653321011795695	6.58355e-7
26 -14	-4000	400	-6000	21.128785515195165	16.976904660859137	-8.81827081685403	7.90745e-7
27 13	-4000	400	-6000	36.201915181905235	31.744374806817188	-13.881170031699522	0.10566
28 22	-4000	400	-6000	0.7443677098086544	0.6747762108583529	-0.2668874821698351	1.34317e-8
